"","Symbol_Mouse","Symbol_Rat"
"2634","Sfn","Sfn"
"2635","Gpr19","Gpr19"
"2636","Irf6","Irf6"
"2637","Lasp1","Lasp1"
"2638","Prickle3","Prickle3"
"2639","Lrmp","Irag2"
"2640","Nedd8","Nedd8"
"2641","Nell1","Nell1"
"2642","Nefl","Nefl"
"2643","Nell2","Nell2"
"2644","Neurod2","Neurod2"
"2645","Neurog1","Neurog1"
"2646","Nfe2","Nfe2"
"2647","Nfrkb","Nfrkb"
"2648","Nkx3-1","Nkx3-1"
"2649","Nkx6-1","Nkx6-1"
"2650","Nnmt","Nnmt"
"2651","Nppa","Nppa"
"2652","Nrap","Nrap"
"2653","Nrl","Nrl"
"2654","Nsf","Nsf"
"2655","Ntf5","Ntf4"
"2656","Ntrk2","Ntrk2"
"2657","Nts","Nts"
"2658","Nucb1","Nucb1"
"2659","Nr4a2","Nr4a2"
"2660","Oas3","Oas3"
"2661","Ocm","Ocm"
"2662","Orc2","Orc2"
"2663","Pa2g4","Pa2g4"
"2665","Pax4","Pax4"
"2666","Pcm1","Pcm1"
"2667","Pcp4","Pcp4"
"2668","Pde4a","Pde4a"
"2669","Pde6c","Pde6c"
"2670","Pde6h","Pde6h"
"2671","Pdgfrl","Pdgfrl"
"2672","Enpp2","Enpp2"
"2673","Penk","Penk"
"2674","Phyh","Phyh"
"2675","Pin1","Pin1"
"2676","Pitpnb","Pitpnb"
"2677","Pltp","Pltp"
"2678","Pnoc","Pnoc"
"2679","Pold2","Pold2"
"2680","Pole","Pole"
"2681","Polr2h","LOC100912534"
"2682","Polr2h","Polr2h"
"2684","Polr2j","Polr2j"
"2685","Pou2af1","Pou2af1"
"2686","Ppard","Ppard"
"2687","Ppp1r2","Ppp1r2"
"2688","Ppp1r3d","Ppp1r3d"
"2689","Ppp5c","Ppp5c"
"2690","Prkaa2","Prkaa2"
"2691","Prkg2","Prkg2"
"2692","Prop1","Prop1"
"2693","Prph","Prph"
"2694","Psme1","Psme1"
"2695","Ralgds","Ralgds"
"2696","Rp1","Rp1"
"2697","Rras","Rras"
"2698","S100a1","S100a1"
"2699","S100b","S100b"
"2700","Ccl19","Ccl19"
"2701","Ccl19-ps1","Ccl19"
"2702","Gm12407","Ccl19"
"2703","Gm13309","Ccl19"
"2704","Gm21104","Ccl19"
"2705","Gm2457","Ccl19"
"2706","Gm2564","Ccl19"
"2707","St3gal4","St3gal4"
"2708","Ssr4","Ssr4"
"2709","Tacc1","Tacc1"
"2710","Tesk1","Tesk1"
"2711","Tfdp2","Tfdp2"
"2712","Tfpi","Tfpi"
"2713","Thy1","Thy1"
"2714","Tnfaip3","Tnfaip3"
"2715","Tnfaip2","Tnfaip2"
"2716","Tsg101","Tsg101"
"2717","Tyro3","Tyro3"
"2718","Vars","Vars1"
"2719","Map3k12","Map3k12"
"2720","Mogs","Mogs"
"2721","Aimp2","Aimp2"
"2722","Smc1a","Smc1a"
"2723","Srpx","Srpx"
"2724","Cnksr1","Cnksr1"
"2725","Pcgf3","Pcgf3"
"2727","Cfdp1","Cfdp1"
"2728","Cfdp1","RGD1561890"
"2729","Rbm14","LOC100911677"
"2730","Rbm14","Rbm14"
"2731","Emg1","Emg1"
"2734","Zer1","Zer1"
"2735","Mcrs1","Mcrs1"
"2737","Mertk","Mertk"
"2738","Slc30a9","Slc30a9"
"2739","Pibf1","Pibf1"
"2740","Znhit1","Znhit1"
"2741","Timm44","Timm44"
"2742","Tada3","Tada3"
"2743","Ube2e3","Ube2e3"
"2744","Slc25a17","Slc25a17"
"2745","Eif3m","Eif3m"
"2746","Hoxb13","Hoxb13"
"2747","Sec23a","Sec23a"
"2748","Lrrc41","Lrrc41"
"2750","Cib2","Cib2"
"2751","Cib1","Cib1"
"2752","Cherp","Cherp"
"2753","Hyou1","Hyou1"
"2754","Ipo7","Ipo7"
"2755","Nop56","Nop56"
"2756","Atg7","Atg7"
"2757","Znrd2","Znrd2"
"2758","Rnaseh2a","Rnaseh2a"
"2759","Ubd","Ubd"
"2760","Batf","Batf"
"2761","Dctn2","Dctn2"
"2762","Lamtor5","Lamtor5"
"2763","Nedd9","Nedd9"
"2764","Procr","Procr"
"2765","Tm9sf1","Tm9sf1"
"2766","Prdx4","Prdx4"
"2767","Arl6ip5","Arl6ip5"
"2768","Agr2","Agr2"
"2769","Arpc1a","Arpc1a"
"2770","Htatip2","Htatip2"
"2771","Agpat2","Agpat2"
"2772","Rpp38","Rpp38"
"2773","Sptlc1","Sptlc1"
"2774","Ifi44","Ifi44"
"2775","Olfm4","Olfm4"
"2776","Arfgef1","Arfgef1"
"2777","Akap3","Akap3"
"2778","Slu7","Slu7"
"2779","Dpysl4","Dpysl4"
"2780","Siva1","Siva1"
"2781","Mrpl28","Mrpl28"
"2782","Cct7","Cct7"
"2783","Cct4","Cct4"
"2784","Cct2","Cct2"
"2785","Npc2","Npc2"
"2786","Txnrd2","Txnrd2"
"2787","Mthfs","Mthfs"
"2788","Mthfsl","Mthfs"
"2789","Drap1","Drap1"
"2790","Dnph1","Dnph1"
"2791","Smc2","Smc2"
"2792","Prpf8","Prpf8"
"2793","Cdc42ep3","Cdc42ep3"
"2794","Paip1","Paip1"
"2795","Paics","Paics"
"2796","Tbl3","Tbl3"
"2798","P3h4","P3h4"
"2799","St6galnac2","St6galnac2"
"2800","Erlin1","Erlin1"
"2801","Spag5","Spag5"
"2802","Stambp","Stambp"
"2803","Arid3b","Arid3b"
"2804","Polr3f","Polr3f"
"2805","Trim16","Trim16"
"2806","Taf6l","Taf6l"
"2807","Pdpn","Pdpn"
"2808","Postn","Postn"
"2811","Rgs14","Rgs14"
"2812","Alx3","Alx3"
"2813","Cln5","Cln5"
"2814","Cln5","RGD1564125"
"2815","Hic1","LOC100912068"
"2816","Lgals2","Lgals2"
"2817","Mcam","Mcam"
"2818","Psmc4","Psmc4"
"2819","Rasa2","Rasa2"
"2820","Relb","Relb"
"2821","Saa4","Saa4"
"2822","Sars","Sars1"
"2823","Dynlt1a","Dynlt1"
"2824","Dynlt1b","Dynlt1"
"2825","Dynlt1c","Dynlt1"
"2826","Dynlt1f","Dynlt1"
"2827","Tfe3","Tfe3"
"2828","Wnt6","Wnt6"
"2829","Zfp217","Zfp217"
"2830","Yeats4","Yeats4"
"2831","Ift88","Ift88"
"2832","Ell","Ell"
"2833","Mia","Mia"
"2834","Ncoa3","Ncoa3"
"2835","Clca2","Clca2"
"2836","Usp3","Usp3"
"2837","Cacng3","Cacng3"
"2838","Ncoa2","Ncoa2"
"2839","Glrx3","Glrx3"
"2840","Nprl2","Nprl2"
"2841","Igf2bp1","Igf2bp1"
"2842","Igf2bp3","Igf2bp3"
"2843","Igf2bp2","Igf2bp2"
"2844","Mtx2","Mtx2"
"2845","Ykt6","Ykt6"
"2846","Pmvk","Pmvk"
"2847","Khdrbs3","Khdrbs3"
"2848","Khdrbs1","Khdrbs1"
"2849","Celf2","Celf2"
"2850","Lbx1","Lbx1"
"2851","Klf1","Klf1"
"2852","Ctcf","Ctcf"
"2853","Cd226","Cd226"
"2854","Fars2","Fars2"
"2855","Cgrrf1","Cgrrf1"
"2856","Cgref1","Cgref1"
"2857","Dctn6","Dctn6"
"2858","Cspg5","Cspg5"
"2859","B3gnt2","B3gnt2"
"2860","Ebp","Ebp"
"2861","Cldn16","Cldn16"
"2862","Fut9","Fut9"
"2863","Cct8","Cct8"
"2864","Cnpy3","Cnpy3"
"2865","Corin","Corin"
"2866","Fam189b","Fam189b"
"2867","Tbr1","Tbr1"
"2868","Api5","Api5"
"2869","Nfat5","Nfat5"
"2870","Nudc","Nudc"
"2871","Tcfl5","Tcfl5"
"2872","Rbbp9","Rbbp9"
"2873","Phtf1","Phtf1"
"2874","Masp2","Masp2"
"2875","Kif1c","Kif1c"
"2876","Grap","Grap"
"2877","Zmynd11","Zmynd11"
"2878","Zbtb6","Zbtb6"
"2879","Vamp5","Vamp5"
"2880","Olfr152","Olr588"
"2881","Rpp40","Rpp40"
"2882","Cysltr1","Cysltr1"
"2883","Sdccag8","Sdccag8"
"2884","Stard10","Stard10"
"2885","Frs3","Frs3"
"2886","Frs2","Frs2"
"2887","Neu3","Neu3"
"2888","Ftcd","Ftcd"
"2889","Ppp1r17","Ppp1r17"
"2890","Clpx","Clpx"
"2891","Pde10a","Pde10a"
"2892","Ruvbl2","Ruvbl2"
"2893","Tpbg","Tpbg"
"2894","Tspan9","Tspan9"
"2895","Usp20","Usp20"
"2896","Nmu","Nmu"
"2897","Fgl2","Fgl2"
"2898","C1ql1","C1ql1"
"2899","Lyve1","Lyve1"
"2900","Jtb","Jtb"
"2901","Rundc3a","Rundc3a"
"2902","Sugt1","Sugt1"
"2903","Tcerg1","Tcerg1"
"2904","Glo1","Glo1"
"2905","Cops8","Cops8"
"2906","Fastk","Fastk"
"2907","Smpdl3a","Smpdl3a"
"2908","Man2c1","Man2c1"
"2909","Adk","Adk"
"2910","Mitf","Mitf"
"2911","Cd6","Cd6"
"2912","Dnase1l1","Dnase1l1"
"2913","Cenpi","Cenpi"
"2914","Hivep2","Hivep2"
"2915","Hoxa2","Hoxa2"
"2916","Hoxa2","LOC100911443"
"2917","Dnajb2","Dnajb2"
"2918","Akap13","Akap13"
"2919","Mcm5","Mcm5"
"2920","Ppp1r1a","Ppp1r1a"
"2921","Rbp4","Rbp4"
"2922","Sntb2","Sntb2"
"2923","Itprid2","Itprid2"
"2924","Med22","LOC100911917"
"2925","Med22","Med22"
"2926","Sypl","Sypl1"
"2927","Taldo1","Taldo1"
"2928","Upk2","Upk2"
"2929","Laptm5","Laptm5"
"2930","Kat6a","Kat6a"
"2931","Lztr1","Lztr1"
"2932","Brap","Brap"
"2933","Lmo4","Lmo4"
"2934","Marco","Marco"
"2935","Zbtb33","LOC100910807"
"2936","Zbtb33","Zbtb33"
"2937","Trim10","Trim10"
"2938","Cdc42ep2","Cdc42ep2"
"2939","Zfpl1","Zfpl1"
"2940","Gjb6","Gjb6"
"2941","Wdr3","Wdr3"
"2942","Malt1","Malt1"
"2943","Uts2","Uts2"
"2944","Ralbp1","Ralbp1"
"2945","Apobec2","Apobec2"
"2946","Myot","LOC100909761"
"2947","Myot","LOC100912306"
"2948","Myot","Myot"
"2949","Prdx3","Prdx3"
"2950","Gpr75","Gpr75"
"2951","Afg3l2","Afg3l2"
"2952","Sf3a3","Sf3a3"
"2953","Ap3m2","Ap3m2"
"2954","Btg3","Btg3"
"2955","Tomm34","Tomm34"
"2956","Pdia5","Pdia5"
"2957","Pnrc1","Pnrc1"
"2958","Lman2","Lman2"
"2959","Erp29","Erp29"
"2960","Mllt11","Mllt11"
"2961","Stip1","Stip1"
"2962","Rab40b","Rab40b"
"2963","Ebna1bp2","Ebna1bp2"
"2964","Ebna1bp2","LOC100912375"
"2965","Ckap4","Ckap4"
"2966","Tmed10","Tmed10"
"2967","Tmed10-ps","Tmed10"
"2968","Ascc3","Ascc3"
"2969","Uqcr11","Uqcr11"
"2970","Clp1","Clp1"
"2971","Fermt2","Fermt2"
"2972","Cops6","Cops6"
"2973","Ccni","Ccni"
"2974","Metap2","Metap2"
"2975","Slc38a3","Slc38a3"
"2976","Spink5","LOC100910851"
"2977","Spink5","Spink5"
"2978","Ccdc85b","Ccdc85b"
"2979","Il24","Il24"
"2980","Tlk2","Tlk2"
"2981","Atf7","Atf7"
"2982","Tmed5","Tmed5"
"2983","Lias","Lias"
"2984","Ift27","Ift27"
"2985","Tdrkh","Tdrkh"
"2986","Rab31","Rab31"
"2987","Elf2","Elf2"
"2988","Gmpr","Gmpr"
"2989","mt-Nd1","ND1"
"2990","mt-Atp6","ATP6"
"2991","mt-Cytb","CYTB"
"2992","mt-Co3","COX3"
"2993","mt-Co1","COX1"
"2994","mt-Co2","COX2"
"2995","mt-Nd3","ND3"
"2996","mt-Nd2","ND2"
"2997","mt-Atp8","ATP8"
"2998","mt-Nd4l","ND4L"
"2999","mt-Nd6","ND6"
"3000","Zfp36l2","LOC100911319"
"3001","Zfp36l2","Zfp36l2"
"3002","Hnmt","Hnmt"
"3003","Hoxd3","Hoxd3"
"3004","Idh3b","Idh3b"
"3005","Prkdc","Prkdc"
"3006","Rp2","Rp2"
"3007","Sc5d","Sc5d"
"3008","Sdf2","Sdf2"
"3009","St3gal2","St3gal2"
"3010","Pmel","Pmel"
"3011","Slc6a9","Slc6a9"
"3012","Sox10","Sox10"
"3013","Sox12","Sox12"
"3014","Spp2","Spp2"
"3015","Hspa13","Hspa13"
"3016","Taf5","Taf5"
"3017","Upk1b","Upk1b"
"3018","Upk3a","Upk3a"
"3019","Zfp422","Zfp422"
"3020","Zfp24","Zfp24"
"3021","Zfp637","Zfp637"
"3022","Zbtb25","Zbtb25"
"3023","Slc39a7","Slc39a7"
"3026","Nr4a3","Nr4a3"
"3027","Alx1","Alx1"
"3028","Cldn10","Cldn10"
"3029","Maged1","Maged1"
"3030","Rph3al","Rph3al"
"3031","Rasa4","Rasa4"
"3032","Lrrc23","LOC100911585"
"3033","Lrrc23","Lrrc23"
"3034","Npm3","Npm3"
"3035","Tacc2","Tacc2"
"3036","Scgn","Scgn"
"3037","Tent4a","Tent4a"
"3038","Nudt21","Nudt21"
"3039","Zpbp","Zpbp"
"3040","Ddx52","Ddx52"
"3041","Cnmd","Cnmd"
"3042","Ube2c","Ube2c"
"3043","Dusp14","Dusp14"
"3044","Dusp14","Dusp14l1"
"3045","Stmn2","Stmn2"
"3046","Triobp","Triobp"
"3047","Kera","Kera"
"3048","Esm1","Esm1"
"3049","Adamts8","Adamts8"
"3050","Adamts5","Adamts5"
"3051","Ptpn21","Ptpn21"
"3052","Rpp14","Rpp14"
"3053","Krr1","Krr1"
"3054","Cep43","Cep43"
"3055","Emilin1","Emilin1"
"3056","Faf1","Faf1"
"3057","Cd160","Cd160"
"3058","Polr3a","Polr3a"
"3060","Cdc42ep1","Cdc42ep1"
"3061","Pwp1","Pwp1"
"3062","Pkig","Pkig"
"3063","Kat7","Kat7"
"3064","Dmc1","Dmc1"
"3065","Plaat3","Plaat3"
"3066","Ficd","Ficd"
"3067","Sox21","Sox21"
"3068","Fstl1","Fstl1"
"3069","Sardh","Sardh"
"3070","Guca2b","Guca2b"
"3071","Ndufv1","Ndufv1"
"3072","Ubl3","Ubl3"
"3073","Ssr3","Ssr3"
"3074","Tcf19","Tcf19"
"3075","Tep1","Tep1"
"3076","Thbs3","Thbs3"
"3077","Tnfaip6","Tnfaip6"
"3078","Trh","Trh"
"3079","Vcp","Vcp"
"3080","Vil1","Vil1"
"3081","Zic2","Zic2"
"3082","Pcgf2","Pcgf2"
"3083","Vezf1","Vezf1"
"3084","Rnf112","Rnf112"
"3085","Zp3","Zp3"
"3086","Csde1","Csde1"
"3087","Csde1","LOC100364335"
"3088","Tfeb","Tfeb"
"3089","Slc14a2","Slc14a2"
"3090","Zmym6","Zmym6"
"3091","Tesk2","Tesk2"
"3092","Nup50","Nup50"
"3093","Prss23","Prss23"
"3094","Erlin2","Erlin2"
"3095","Insl6","Insl6"
"3096","Treh","Treh"
"3097","Map4k1","Map4k1"
"3098","Pkp3","Pkp3"
"3099","Abcb8","Abcb8"
"3100","Supt16","Supt16h"
"3101","Poli","Poli"
"3102","Plpbp","Plpbp"
"3103","Ddx20","Ddx20"
"3104","Dusp10","Dusp10"
"3105","Galnt6","Galnt6"
"3106","Rassf8","Rassf8"
"3107","Sec63","Sec63"
"3108","Polg2","Polg2"
"3109","Rnf139","Rnf139"
"3111","Pmf1","Pmf1"
"3112","Zhx1","Zhx1"
"3113","Gpr176","Gpr176"
"3114","Nxph3","Nxph3"
"3115","Gpr45","Gpr45"
"3116","Man1b1","Man1b1"
"3117","Hrh3","Hrh3"
"3118","Dctn3","Dctn3"
"3119","Dctn3","Dctn3l1"
"3120","Chp1","Chp1"
"3121","Pxmp4","Pxmp4"
"3122","Dusp12","Dusp12"
"3123","Snf8","Snf8"
"3124","Ddx19a","Ddx19a"
"3125","Pnkp","Pnkp"
"3126","B4galt7","B4galt7"
"3127","Pnma2","Pnma2"
"3128","Vps45","Vps45"
"3129","Cope","Cope"
"3130","Gpr182","Gpr182"
"3131","Ecd","Ecd"
"3132","Gpn1","Gpn1"
"3134","Stxbp3","Stxbp3"
"3135","Phb2","Phb2"
"3136","Tusc2","Tusc2"
"3138","Scrg1","Scrg1"
"3139","Twf2","Twf2"
"3140","Synpo","Synpo"
"3141","Mme","Mme"
"3142","Brca1","Brca1"
"3143","Hyal1","Hyal1"
"3144","Abl2","Abl2"
"3145","Bola3","Bola3"
"3146","Ergic3","Ergic3"
"3147","Mak16","Mak16"
"3148","Pomt2","Pomt2"
"3149","Smarcad1","Smarcad1"
"3150","Tmed4","Tmed4"
"3151","Iars","Iars1"
"3152","Ptrh2","Ptrh2"
"3153","Napb","Napb"
"3154","Ap2a2","Ap2a2"
"3155","Rft1","Rft1"
"3156","Apex2","Apex2"
"3157","Pdss1","Pdss1"
"3158","Pigv","Pigv"
"3159","Ppa1","Ppa1"
"3160","Tnpo1","Tnpo1"
"3161","Ola1","Ola1"
"3162","Mecr","Mecr"
"3163","Pnpo","Pnpo"
"3164","Prpf6","Prpf6"
"3165","Ftsj1","Ftsj1"
"3166","Slc25a29","Slc25a29"
"3168","Nudt5","Nudt5"
"3169","Nploc4","Nploc4"
"3170","Acer3","Acer3"
"3171","Tmem165","LOC100911646"
"3172","Tmem165","Tmem165"
"3173","Pcx","Pc"
"3174","Tdp1","Tdp1"
"3175","Ganab","Ganab"
"3176","Slc12a9","Slc12a9"
"3177","Ddx46","Ddx46"
"3178","Hddc2","Hddc2"
"3180","Trappc2","Trappc2"
"3181","Ntmt1","Ntmt1"
"3182","Paf1","Paf1"
"3183","Ftsj3","Ftsj3"
"3184","Nfs1","LOC100911034"
"3185","Nfs1","Nfs1"
"3186","Dscc1","Dscc1"
"3187","Pgs1","Pgs1"
"3188","Rer1","Rer1"
"3189","Bin3","Bin3"
"3190","Cwh43","Cwh43"
"3191","Rhebl1","Rhebl1"
"3192","Rbks","Rbks"
"3193","Pgap3","Pgap3"
"3194","Bud23","Bud23"
"3195","Thnsl2","Thnsl2"
"3196","Impact","Impact"
"3197","Nle1","Nle1"
"3198","Pgp","Pgp"
"3199","Arfgap1","Arfgap1"
"3200","Dtd1","Dtd1"
"3201","Nhp2","LOC100910210"
"3202","D2hgdh","D2hgdh"
"3203","Ldhd","Ldhd"
"3204","Ak6","Ak6"
"3205","Slc25a38","Slc25a38"
"3206","Nup107","Nup107"
"3207","Osgepl1","Osgepl1"
"3208","Zmat2","Zmat2"
"3209","Rpl13","Rpl13"
"3210","Rpl13-ps6","Rpl13"
"3211","Rnf20","Rnf20"
"3212","Ube2i","Ube2i"
"3213","Tsr1","Tsr1"
"3214","Gmppb","Gmppb"
"3216","Trmu","Trmu"
"3217","Ddx54","Ddx54"
"3218","Gpd1","Gpd1"
"3219","Eif4a3","Eif4a3"
"3220","Vps54","Vps54"
"3221","Hibch","Hibch"
"3222","Polr3k","Polr3k"
"3223","Rrp8","Rrp8"
"3224","Trmt1","Trmt1"
"3225","N6amt1","N6amt1"
"3226","Scfd1","Scfd1"
"3227","Dcakd","Dcakd"
"3228","Tcp1","Tcp1"
"3229","Copb1","Copb1"
"3230","Idnk","Idnk"
"3231","Rmnd5a","Rmnd5a"
"3232","Pex10","Pex10"
"3233","Zfp598","Zfp598"
"3234","Wars2","Wars2"
"3235","Rmnd1","Rmnd1"
"3236","Ppan","Ppan"
"3237","Tcf25","Tcf25"
"3238","Fcf1","Fcf1"
"3239","Rars2","Rars2"
"3240","Cdc40","Cdc40"
"3241","Esf1","Esf1"
"3242","Ncs1","Ncs1"
"3243","Mus81","Mus81"
"3244","Icmt","Icmt"
"3245","Xab2","Xab2"
"3246","Pitrm1","Pitrm1"
"3247","Slc35f5","Slc35f5"
"3248","Trappc5","Trappc5"
"3249","Vps52","Vps52"
"3250","Chmp5","Chmp5"
"3251","Gins4","Gins4"
"3253","Slc38a11","Slc38a11"
"3254","Naa35","Naa35"
"3255","Afg1l","Afg1l"
"3256","Atp6v1d","Atp6v1d"
"3257","Enoph1","Enoph1"
"3258","Atp13a1","Atp13a1"
"3259","Hacl1","Hacl1"
"3260","Slc35b4","Slc35b4"
"3261","Mcts1","Mcts1"
"3262","Msra","Msra"
"3263","Fign","Fign"
"3264","Oxsm","Oxsm"
"3265","Pars2","Pars2"
"3266","Ipo4","Ipo4"
"3267","Nsa2","Nsa2"
"3268","Mdp1","Mdp1"
"3269","Cox15","Cox15"
"3270","Myg1","Myg1"
"3271","Cog3","Cog3"
"3272","Pabpc5","Pabpc5"
"3273","Snrnp200","Snrnp200"
"3274","Adhfe1","Adhfe1"
"3275","Eprs","Eprs"
"3276","Ipo9","Ipo9"
"3277","Mto1","Mto1"
"3278","Thumpd1","Thumpd1"
"3279","Emc4","Emc4"
"3280","Nif3l1","Nif3l1"
"3281","Kif17","Kif17"
"3282","Wdr61","Wdr61"
"3283","Gcn1","Gcn1"
"3284","Mnd1","Mnd1"
"3285","Ulk2","Ulk2"
"3286","Xrn1","Xrn1"
"3287","Yipf1","Yipf1"
"3288","Mtrf1l","Mtrf1l"
"3289","Mrm2","Mrm2"
"3290","Lsg1","Lsg1"
"3291","Pan2","Pan2"
"3292","Alg2","Alg2"
"3293","Pus1","Pus1"
"3294","Cnih4","Cnih4"
"3295","Psmc3ip","Psmc3ip"
"3296","Nsdhl","Nsdhl"
"3297","Eef1akmt1","Eef1akmt1"
"3298","Thg1l","Thg1l"
"3299","Atad1","Atad1"
"3300","Abhd11","Abhd11"
"3301","Eif2a","Eif2a"
"3302","Pfas","Pfas"
"3303","Gid4","Gid4"
"3304","Eif2b4","Eif2b4"
"3305","Prpf31","Prpf31"
"3306","Exosc5","Exosc5"
"3307","Slc25a19","Slc25a19"
"3308","Pes1","Pes1"
"3309","Syf2","Syf2"
"3310","Nol10","Nol10"
"3311","Mars2","LOC100911305"
"3312","Mars2","Mars2"
"3313","Exosc4","Exosc4"
"3314","Elp2","Elp2"
"3315","Wdr45b","Wdr45b"
"3316","Alg10b","Alg10"
"3317","Sdad1","Sdad1"
"3318","Pgls","Pgls"
"3319","Coq6","Coq6"
"3320","Slc25a40","Slc25a40"
"3321","Trp53rka","LOC685619"
"3322","Trp53rka","Tp53rk"
"3323","Trp53rkb","LOC685619"
"3324","Trp53rkb","Tp53rk"
"3325","Atad2","Atad2"
"3326","Cwc22","Cwc22"
"3327","Cwc22","LOC500684"
"3328","Surf4","Surf4"
"3330","Spo11","Spo11"
"3331","Otud6b","Otud6b"
"3332","Sars2","Sars2"
"3333","Pmpca","Pmpca"
"3334","Aldh4a1","Aldh4a1"
"3335","Ovca2","Ovca2"
"3336","Ddx47","Ddx47"
"3337","Exosc2","Exosc2"
"3338","Trmt5","Trmt5"
"3339","Nadsyn1","Nadsyn1"
"3340","Ppme1","Ppme1"
"3341","Pptc7","Pptc7"
"3342","Upf2","Upf2"
"3344","Mocs3","Mocs3"
"3345","Dnpep","Dnpep"
"3346","Lsm12","Lsm12"
"3347","Ciao2b","Ciao2b"
"3348","Imp3","Imp3"
"3349","Dna2","Dna2"
"3350","Nmd3","Nmd3"
"3351","Tex261","Tex261"
"3352","Pigt","Pigt"
"3353","Ptrh1","Ptrh1"
"3354","Smyd5","Smyd5"
"3355","Ptpa","Ptpa"
"3356","Slc25a32","Slc25a32"
"3357","Utp25","Utp25"
"3358","Ppcs","Ppcs"
"3359","Eef1akmt2","Eef1akmt2"
"3360","Cyb5r2","Cyb5r2"
"3361","Allc","Allc"
"3362","Vps35","Vps35"
"3363","Isyna1","Isyna1"
"3364","Trmt61a","Trmt61a"
"3365","Gfm2","Gfm2"
"3366","Pigw","Pigw"
"3367","Mtrex","Mtrex"
"3368","Adat2","Adat2"
"3369","Vps53","Vps53"
"3370","Memo1","Memo1"
"3371","Pigm","Pigm"
"3372","Denr","Denr"
"3374","Hectd2","Hectd2"
"3375","Isy1","Isy1"
"3376","Dtymk","Dtymk"
"3377","Cct5","Cct5"
"3378","Rfc4","Rfc4"
"3379","Itpa","Itpa"
"3380","Dohh","Dohh"
"3381","Pemt","Pemt"
"3382","Vps25","Vps25"
"3383","Sacm1l","Sacm1l"
"3384","Prkrip1","Prkrip1"
"3385","Pign","Pign"
"3386","Srprb","Srprb"
"3387","Naxd","Naxd"
"3388","Polr3h","Polr3h"
"3389","Ltv1","Ltv1"
"3390","Slc25a35","Slc25a35"
"3391","Kti12","Kti12"
"3392","Utp11","Utp11"
"3393","Yju2","RGD1560857"
"3394","Yju2","RGD1563937"
"3395","Yju2","Yju2"
"3396","Dhx36","Dhx36"
"3397","Chmp3","Chmp3"
"3398","Nfu1","Nfu1"
"3399","Pan3","Pan3"
"3400","Prpf40a","Prpf40a"
"3401","Mrto4","Mrto4"
"3402","Mrto4-ps1","Mrto4"
"3403","Mrto4-ps2","Mrto4"
"3404","Chmp2a","Chmp2a"
"3405","Dnm1l","Dnm1l"
"3406","Ddx31","Ddx31"
"3407","Unc50","Unc50"
"3408","Osgep","Osgep"
"3409","Tmem184b","Tmem184b"
"3410","Trappc3","Trappc3"
"3411","Elac2","Elac2"
"3412","Rpf2","Rpf2"
"3413","Dhx35","Dhx35"
"3414","Prpf19","Prpf19"
"3415","Xpnpep1","Xpnpep1"
"3416","Dcaf13","Dcaf13"
"3417","Ddx27","Ddx27"
"3418","Sbds","Sbds"
"3419","Tmem97","Tmem97"
"3420","Rexo2","Rexo2"
"3421","Gfm1","Gfm1"
"3422","Actr6","Actr6"
"3423","Cpsf2","Cpsf2"
"3424","Crnkl1","Crnkl1"
"3425","Crnkl1","LOC102548514"
"3426","Acss2","Acss2"
"3427","Dph5","Dph5"
"3428","Vta1","Vta1"
"3429","Abcb10","Abcb10"
"3430","Coq9","Coq9"
"3431","Sec13","Sec13"
"3432","Gpn3","Gpn3"
"3433","Metap1","Metap1"
"3434","Shprh","Shprh"
"3435","Adck1","Adck1"
"3436","Ncapd2","Ncapd2"
"3437","Ddx56","Ddx56"
"3438","Cpsf3","Cpsf3"
"3439","Guf1","Guf1"
"3440","Eif2b2","Eif2b2"
"3441","Rplp0","Rplp0"
"3442","Slc25a10","Slc25a10"
"3443","Nit2","Nit2"
"3444","Lars2","Lars2"
"3445","Vac14","Vac14"
"3446","Dus3l","Dus3l"
"3447","Dus4l","Dus4l"
"3448","Wdr36","Wdr36"
"3449","Coro1a","Coro1a"
"3450","Lsm3","Lsm3"
"3451","Pigu","Pigu"
"3452","Coq5","Coq5"
"3453","Asnsd1","Asnsd1"
"3454","Gulo","Gulo"
"3455","Dus1l","Dus1l"
"3457","Hao1","Hao1"
"3458","Sf3b3","Sf3b3"
"3459","Slc35c2","Slc35c2"
"3460","Ung","Ung"
"3461","Ube2g2","Ube2g2"
"3462","Gtpbp3","Gtpbp3"
"3463","Immp2l","Immp2l"
"3464","Bop1","Bop1"
"3465","Wdr1","Wdr1"
"3466","Utp15","Utp15"
"3467","Hmces","Hmces"
"3468","Dhx37","Dhx37"
"3469","Grwd1","Grwd1"
"3470","Ccdc25","Ccdc25"
"3471","Wrn","Wrn"
"3472","Usp27x","Usp27x"
"3473","Vps11","Vps11"
"3474","Sf3b2","Sf3b2"
"3475","Slc30a1","Slc30a1"
"3477","Sf3b1","Sf3b1"
"3478","Ddx18","Ddx18"
"3479","Qrsl1","Qrsl1"
"3480","Filip1","Filip1"
"3482","Fig4","Fig4"
"3483","Abhd13","Abhd13"
"3484","Rfc5","Rfc5"
"3485","Pi4kb","Pi4kb"
"3486","Mrpl46","Mrpl46"
"3487","Ciao3","Ciao3"
"3488","Dnajc21","Dnajc21"
"3489","Ssu72","Ssu72"
"3490","Alg9","Alg9"
"3491","Riok2","Riok2"
