"","Symbol_Rat","Symbol_Human"
"4465","Rims3","RIMS3"
"4466","Snx17","SNX17"
"4467","LOC690035","KIAA0586"
"4468","Dlgap5","DLGAP5"
"4469","Mtss1","MTSS1"
"4470","Spcs2","SPCS2"
"4471","Sertad2","SERTAD2"
"4472","Ckap5","CKAP5"
"4473","Maml1","MAML1"
"4474","Snx19","SNX19"
"4475","LOC102551958","PHYHIP"
"4476","Phyhip","PHYHIP"
"4477","Tatdn2","TATDN2"
"4478","Ist1","IST1"
"4479","Dhcr24","DHCR24"
"4480","Mrpl19","MRPL19"
"4481","Scrn1","SCRN1"
"4482","Spock2","SPOCK2"
"4483","Rnf40","RNF40"
"4484","Efcab14","EFCAB14"
"4485","Urb2","URB2"
"4486","Tsc22d2","TSC22D2"
"4487","Arhgap11a","ARHGAP11A"
"4488","Rgp1","RGP1"
"4489","Dnajc6","DNAJC6"
"4490","Jakmip2","JAKMIP2"
"4491","Zeb2","ZEB2"
"4492","Zbtb24","ZBTB24"
"4493","Plekhm1","PLEKHM1"
"4494","C2cd5","C2CD5"
"4495","RGD1304728","KIAA0753"
"4496","Epm2aip1","EPM2AIP1"
"4497","C2cd2l","C2CD2L"
"4498","Farp2","FARP2"
"4499","RGD1307443","KIAA0319"
"4500","Cep350","CEP350"
"4501","Lrig2","LRIG2"
"4502","Arel1","AREL1"
"4503","Fchsd2","FCHSD2"
"4504","Zc3h11a","ZC3H11A"
"4505","Tox4","TOX4"
"4506","Zbtb39","ZBTB39"
"4507","Rhobtb1","RHOBTB1"
"4508","Plppr4","PLPPR4"
"4509","Nuak1","NUAK1"
"4510","Tecpr2","TECPR2"
"4511","Washc5","WASHC5"
"4512","Klhl21","KLHL21"
"4513","Tmcc2","TMCC2"
"4514","Supt7l","SUPT7L"
"4515","Chst15","CHST15"
"4516","Fam20b","FAM20B"
"4517","Zbtb40","ZBTB40"
"4518","Zbtb5","ZBTB5"
"4519","Lpgat1","LPGAT1"
"4520","LOC100911485","MFN2"
"4521","Mfn2","MFN2"
"4522","Kif14","KIF14"
"4523","Josd1","JOSD1"
"4524","Helz","HELZ"
"4525","Cd302","CD302"
"4526","Dclre1a","DCLRE1A"
"4527","Sugp2","SUGP2"
"4528","Fam3c","FAM3C"
"4529","Pdap1","PDAP1"
"4530","Scaf8","SCAF8"
"4531","Cep162","CEP162"
"4532","Rhobtb3","RHOBTB3"
"4533","Cobll1","COBLL1"
"4534","Rnf44","RNF44"
"4535","Dlgap4","DLGAP4"
"4536","Rab11fip2","RAB11FIP2"
"4537","Frmpd1","FRMPD1"
"4538","Dolk","DOLK"
"4539","Vash1","VASH1"
"4540","Zfp507","ZNF507"
"4541","Adnp2","ADNP2"
"4542","Lmtk2","LMTK2"
"4543","Ntng1","NTNG1"
"4544","Chsy1","CHSY1"
"4545","Adgrl1","ADGRL1"
"4546","Fndc3a","FNDC3A"
"4547","R3hdm2","R3HDM2"
"4548","Slitrk3","SLITRK3"
"4549","Cnksr2","CNKSR2"
"4550","Fastkd2","FASTKD2"
"4551","Inpp5f","INPP5F"
"4552","Morc2","MORC2"
"4553","Ankrd6","ANKRD6"
"4554","Zhx2","ZHX2"
"4555","Spast","SPAST"
"4556","Ubox5","UBOX5"
"4557","Zbtb1","ZBTB1"
"4558","Zfp365","ZNF365"
"4559","Bahd1","BAHD1"
"4560","Arsg","ARSG"
"4561","Btbd3","BTBD3"
"4562","Sbno2","SBNO2"
"4563","Wdr47","WDR47"
"4564","Sorcs3","SORCS3"
"4565","Pcnx2","PCNX2"
"4566","Rab21","RAB21"
"4567","Exosc7","EXOSC7"
"4568","Tmcc1","TMCC1"
"4569","Usp33","USP33"
"4570","Wdtc1","WDTC1"
"4571","Zhx3","ZHX3"
"4572","Emc1","EMC1"
"4573","Cmtr1","CMTR1"
"4574","Hecw1","HECW1"
"4575","Mycbp2","MYCBP2"
"4576","Pprc1","PPRC1"
"4577","Exph5","EXPH5"
"4578","Zfp423","ZNF423"
"4579","Ttll5","TTLL5"
"4580","Sarm1","SARM1"
"4581","Tab2","TAB2"
"4582","Hic2","HIC2"
"4583","Camta2","CAMTA2"
"4584","Pogz","POGZ"
"4585","Nphp4","NPHP4"
"4586","Zzef1","ZZEF1"
"4587","Dcun1d5","DCUN1D5"
"4588","Zc3h3","ZC3H3"
"4589","Fcho2","FCHO2"
"4590","Clcc1","CLCC1"
"4591","Mprip","MPRIP"
"4592","Stab1","STAB1"
"4593","Ttll12","TTLL12"
"4594","Zcchc14","ZCCHC14"
"4595","Pask","PASK"
"4596","Rgl1","RGL1"
"4597","Phf3","PHF3"
"4598","Acsbg1","ACSBG1"
"4599","Trim9","TRIM9"
"4600","Jmjd6","JMJD6"
"4601","Fbxo28","FBXO28"
"4602","Plcl2","PLCL2"
"4603","Arhgef9","ARHGEF9"
"4604","Sel1l3","SEL1L3"
"4605","Dnajc9","DNAJC9"
"4606","Arc","ARC"
"4607","Tmem131l","TMEM131L"
"4608","Cobl","COBL"
"4609","Ankrd12","ANKRD12"
"4610","Dnmbp","DNMBP"
"4611","Tasor","TASOR"
"4612","Cluh","CLUH"
"4613","Arap2","ARAP2"
"4614","Adgrf5","ADGRF5"
"4615","Agtpbp1","AGTPBP1"
"4616","Anks1a","ANKS1A"
"4617","Cyld","CYLD"
"4618","Bicd2","BICD2"
"4619","Kif13b","KIF13B"
"4620","Trim71","TRIM71"
"4621","Synm","SYNM"
"4622","Jade2","JADE2"
"4623","Trim37","TRIM37"
"4624","Fnbp4","FNBP4"
"4625","Arhgef12","ARHGEF12"
"4626","Larp1","LARP1"
"4627","Ppp1r13b","PPP1R13B"
"4628","Ufl1","UFL1"
"4629","Smg5","SMG5"
"4630","Asxl1","ASXL1"
"4631","Ppwd1","PPWD1"
"4632","Ctdnep1","CTDNEP1"
"4633","Zfyve26","ZFYVE26"
"4634","Lrrc8b","LRRC8B"
"4635","Pofut1","POFUT1"
"4636","R3hdm1","R3HDM1"
"4637","Ly96","LY96"
"4638","LOC689660","BCL2L13"
"4639","Hephl1","HEPHL1"
"4640","Sun2","SUN2"
"4641","Bri3","BRI3"
"4642","Hectd1","HECTD1"
"4643","Mob4","MOB4"
"4644","Yipf3","YIPF3"
"4645","Tecpr1","TECPR1"
"4646","Armc8","ARMC8"
"4647","LOC100910898","BRMS1L"
"4648","Hdac7","HDAC7"
"4649","Abhd14b","ABHD14B"
"4650","Nepro","NEPRO"
"4651","Letmd1","LETMD1"
"4652","Tmem186","TMEM186"
"4653","Aasdhppt","AASDHPPT"
"4654","Pamr1","PAMR1"
"4655","Trim58","TRIM58"
"4656","Ints7","INTS7"
"4657","Kansl1","KANSL1"
"4658","Tmem158","TMEM158"
"4659","Ahctf1","AHCTF1"
"4660","Zdhhc5","ZDHHC5"
"4661","Mtmr9","MTMR9"
"4662","Atl3","ATL3"
"4663","Myrip","MYRIP"
"4664","Zfp521","ZNF521"
"4665","Cnrip1","CNRIP1"
"4666","Sostdc1","SOSTDC1"
"4667","Gemin5","GEMIN5"
"4668","Rab11fip5","RAB11FIP5"
"4669","Wwtr1","WWTR1"
"4670","Samhd1","SAMHD1"
"4671","Tpgs2","TPGS2"
"4672","Nectin3","NECTIN3"
"4673","Kank2","KANK2"
"4674","Tmem87a","TMEM87A"
"4675","Egfl6","EGFL6"
"4676","Tiparp","TIPARP"
"4677","Necap2","NECAP2"
"4678","Aar2","AAR2"
"4679","Krt23","KRT23"
"4680","Hinfp","HINFP"
"4681","Tbc1d10b","TBC1D10B"
"4682","Gorasp2","GORASP2"
"4683","Polr2m","POLR2M"
"4684","Zzz3","ZZZ3"
"4685","Tmem98","TMEM98"
"4686","Zfp451","ZNF451"
"4687","Sipa1l1","SIPA1L1"
"4688","Ss18l1","SS18L1"
"4689","Setbp1","SETBP1"
"4690","Slitrk5","SLITRK5"
"4691","Ppp1r16b","PPP1R16B"
"4692","Senp6","SENP6"
"4693","Rai14","RAI14"
"4694","Cfap61","CFAP61"
"4695","Gpatch4","GPATCH4"
"4696","Arhgef26","ARHGEF26"
"4697","Pgm3","PGM3"
"4698","Tor1aip1","TOR1AIP1"
"4699","Dcaf4","DCAF4"
"4700","Szrd1","SZRD1"
"4701","Lrit1","LRIT1"
"4702","Wsb1","WSB1"
"4703","Ldlrap1","LDLRAP1"
"4704","Fgfr1op2","FGFR1OP2"
"4705","Kifbp","KIFBP"
"4706","Trpc4ap","TRPC4AP"
"4707","Zbtb20","ZBTB20"
"4708","C1qtnf5","C1QTNF5"
"4709","Ribc2","RIBC2"
"4710","Nat9","NAT9"
"4711","Aaas","AAAS"
"4712","Mtg2","MTG2"
"4713","Senp3","SENP3"
"4714","Cnppd1","CNPPD1"
"4715","Sdcbp2","SDCBP2"
"4716","Wwc3","WWC3"
"4717","Erlec1","ERLEC1"
"4718","Mmadhc","MMADHC"
"4719","Sgsm3","SGSM3"
"4720","Bicra","BICRA"
"4721","Pla2g3","PLA2G3"
"4722","Cd207","CD207"
"4723","Col5a3","COL5A3"
"4724","Podxl2","PODXL2"
"4725","Caly","CALY"
"4726","Rbp3","RBP3"
"4727","Sufu","SUFU"
"4728","Shroom3","SHROOM3"
"4729","Lpin1","LPIN1"
"4730","Prok2","PROK2"
"4731","Sall2","SALL2"
"4732","Fbh1","FBH1"
"4733","Fbxo16","FBXO16"
"4734","Fbxo6","FBXO6"
"4735","Hs6st2","HS6ST2"
"4736","Fbxl8","FBXL8"
"4737","Dmrt1","DMRT1"
"4738","Adar","ADAR"
"4739","Ubxn1","UBXN1"
"4740","Ripor2","RIPOR2"
"4741","Slc14a1","SLC14A1"
"4742","Mbtps2","MBTPS2"
"4743","Hook1","HOOK1"
"4744","Prlh","PRLH"
"4745","Gmnn","GMNN"
"4746","Zmynd10","ZMYND10"
"4747","Pla1a","PLA1A"
"4748","Trim33","TRIM33"
"4749","Wdpcp","WDPCP"
"4750","Zfp691","ZNF691"
"4751","Txndc11","TXNDC11"
"4752","Atl1","ATL1"
"4753","Calhm2","CALHM2"
"4754","Cuta","CUTA"
"4755","Lsr","LSR"
"4756","Mterf3","MTERF3"
"4757","Amdhd2","AMDHD2"
"4758","Slc35b3","SLC35B3"
"4759","Nosip","NOSIP"
"4760","Tmx2","TMX2"
"4761","Cutc","CUTC"
"4762","Mrps17","MRPS17"
"4763","Mrps7","MRPS7"
"4764","Cryl1","CRYL1"
"4765","Uchl5","UCHL5"
"4766","Crlf3","CRLF3"
"4767","Pllp","PLLP"
"4768","Rrnad1","RRNAD1"
"4769","LOC100911093","TRNT1"
"4770","Trnt1","TRNT1"
"4771","LOC100910414","SCCPDH"
"4772","Sccpdh","SCCPDH"
"4773","Ift52","IFT52"
"4774","Sh3glb1","SH3GLB1"
"4775","Zc2hc1a","ZC2HC1A"
"4776","Phf20l1","PHF20L1"
"4777","Tfb1m","TFB1M"
"4778","Aph1a","APH1A"
"4779","Lactb2","LACTB2"
"4780","Dhrs7","DHRS7"
"4781","Rtraf","RTRAF"
"4782","Derl2","DERL2"
"4783","Exosc1","EXOSC1"
"4784","Sf3b6","SF3B6"
"4785","Isoc1","ISOC1"
"4786","Washc3","WASHC3"
"4787","Copz1","COPZ1"
"4788","Ppil1","PPIL1"
"4789","Med31","MED31"
"4790","Mrps16","MRPS16"
"4791","Mrps18c","MRPS18C"
"4792","Vps36","VPS36"
"4793","Glod4","GLOD4"
"4794","Styxl1","STYXL1"
"4795","Rbm7","RBM7"
"4796","Commd2","COMMD2"
"4797","Mpc1","MPC1"
"4798","Golga7","GOLGA7"
"4799","Trim17","TRIM17"
"4800","Asb1","ASB1"
"4801","Asb3","ASB3"
"4802","Asb3","GPR75-ASB3"
"4803","Asb4","ASB4"
"4804","Kctd3","KCTD3"
"4805","Cep83","CEP83"
"4806","Saraf","SARAF"
"4807","Insig2","INSIG2"
"4808","Cpq","CPQ"
"4809","Dync1li1","DYNC1LI1"
"4810","Commd10","COMMD10"
"4811","Ubac1","UBAC1"
"4812","Oaz3","OAZ3"
"4813","Slc45a2","SLC45A2"
"4815","LOC100909524","SERPINA10"
"4816","Serpina10","SERPINA10"
"4817","Crnn","CRNN"
"4818","Kif20b","KIF20B"
"4819","Lsm8","LSM8"
"4820","Amotl2","AMOTL2"
"4821","Pdgfc","PDGFC"
"4822","Trappc2l","TRAPPC2L"
"4823","RGD1307461","C3orf18"
"4824","Trip4","TRIP4"
"4825","Dbr1","DBR1"
"4826","Dctn4","DCTN4"
"4827","Ddx41","DDX41"
"4828","Vps29","VPS29"
"4829","Gprc5b","GPRC5B"
"4830","Scara3","SCARA3"
"4831","Emcn","EMCN"
"4832","Impg2","IMPG2"
"4833","Hpcal4","HPCAL4"
"4834","Tubd1","TUBD1"
"4835","Fzr1","FZR1"
"4836","Vgll1","VGLL1"
"4837","Rnf138","RNF138"
"4838","Tob2","TOB2"
"4839","Plekho1","PLEKHO1"
"4840","Cdh9","CDH9"
"4841","Cnot1","CNOT1"
"4842","Uimc1","UIMC1"
"4843","Trap1","TRAP1"
"4844","Pcyox1","PCYOX1"
"4845","Fbxo40","FBXO40"
"4846","Crbn","CRBN"
"4847","Rsl24d1","RSL24D1"
"4848","Dnajb11","DNAJB11"
"4849","Gulp1","GULP1"
"4850","Rhbg","RHBG"
"4851","Upb1","UPB1"
"4852","Sfmbt1","SFMBT1"
"4853","Zfp639","ZNF639"
"4854","Gpr89b","GPR89A"
"4855","Gpr89b","GPR89B"
"4856","Plce1","PLCE1"
"4857","Nat8","NAT8"
"4858","Slco4a1","SLCO4A1"
"4859","Dcdc2","DCDC2"
"4860","Lima1","LIMA1"
"4861","Irx4","IRX4"
"4862","Ghrl","GHRL"
"4863","Gp6","GP6"
"4864","Cldn18","CLDN18"
"4865","Ankfy1","ANKFY1"
"4866","Cd244","CD244"
"4867","Hacd3","HACD3"
"4868","Nelfcd","NELFCD"
"4869","Hypk","HYPK"
"4870","Cwc15","CWC15"
"4871","Ufc1","UFC1"
"4872","Rtfdc1","RTF2"
"4873","Cdk5rap1","CDK5RAP1"
"4874","rnf141","RNF141"
"4875","Zfp219","ZNF219"
"4876","Abi3","ABI3"
"4877","Phf20","PHF20"
"4878","Higd1b","HIGD1B"
"4879","Vrk3","VRK3"
"4880","Crim1","CRIM1"
"4881","Mpp5","MPP5"
"4882","Nckipsd","NCKIPSD"
"4883","Tmem9","TMEM9"
"4884","Prkd2","PRKD2"
"4885","Cxxc5","CXXC5"
"4886","Tmem138","TMEM138"
"4887","Ankrd39","ANKRD39"
"4888","Cox16","COX16"
"4889","Oser1","OSER1"
"4890","Gskip","GSKIP"
"4891","Ccdc174","CCDC174"
"4892","Jkamp","JKAMP"
"4893","Pdzd11","PDZD11"
"4894","Tmem69","TMEM69"
"4895","Pphln1","PPHLN1"
"4896","Nt5c3a","NT5C3A"
"4897","Mrpl37","MRPL37"
"4898","Rnf181","RNF181"
"4899","Tbc1d7","TBC1D7"
"4900","Marchf2","MARCHF2"
"4901","Tmem216","TMEM216"
"4902","Pbdc1","PBDC1"
"4903","Mrpl27","MRPL27"
"4904","Scly","SCLY"
"4905","Clec1a","CLEC1A"
"4906","Syt17","SYT17"
"4907","Ubap1","UBAP1"
"4908","Ninj2","NINJ2"
"4909","Dnajc27","DNAJC27"
"4910","C1rl","C1RL"
"4911","Tm7sf3","TM7SF3"
"4912","Ankmy1","ANKMY1"
"4913","Pex5l","PEX5L"
"4914","Bfar","BFAR"
"4915","Rasl12","RASL12"
"4916","Coa4","COA4"
"4917","Rxfp3","RXFP3"
"4918","Lgsn","LGSN"
"4919","Gmip","GMIP"
"4920","Nt5dc3","NT5DC3"
"4921","Cd320","CD320"
"4922","Pcdh12","PCDH12"
"4923","Mbip","MBIP"
"4924","Nrn1","NRN1"
"4925","Timmdc1","TIMMDC1"
"4926","Cyp39a1","CYP39A1"
"4927","Fkbp11","FKBP11"
"4928","Zdhhc3","ZDHHC3"
"4929","Fam13b","FAM13B"
"4930","Fam53c","FAM53C"
"4931","Armcx3","ARMCX3"
"4932","Gask1b","GASK1B"
"4933","Tdp2","TDP2"
"4934","Slc6a13","SLC6A13"
"4935","Nme8","NME8"
"4936","Ufm1","UFM1"
"4937","Krcc1","KRCC1"
"4938","Phf21a","PHF21A"
"4939","Mrpl35","MRPL35"
"4940","Cyrib","CYRIB"
"4941","Mex3c","MEX3C"
"4942","Amz2","AMZ2"
"4943","Spg21","SPG21"
"4944","Paxbp1","PAXBP1"
"4945","Ahsp","AHSP"
"4946","Arl6ip4","ARL6IP4"
"4947","Mrps30","MRPS30"
"4948","Dact1","DACT1"
"4949","Syt3","SYT3"
"4950","Sntb1","SNTB1"
"4951","Cntfr","CNTFR"
"4952","Cldn1","CLDN1"
"4953","Cldn2","CLDN2"
"4954","Reck","RECK"
"4955","Incenp","INCENP"
"4956","Clec4f","CLEC4F"
"4957","Dnajc5","DNAJC5"
"4958","Bok","BOK"
"4959","Mzf1","MZF1"
"4960","Banp","BANP"
"4961","Rbms1","RBMS1"
"4962","Acrbp","ACRBP"
"4963","Rab33b","RAB33B"
"4964","Pdlim1","PDLIM1"
"4965","Hif3a","HIF3A"
"4966","Deaf1","DEAF1"
"4967","Cldn7","CLDN7"
"4968","Fut8","FUT8"
"4969","LOC100362432","TIMM23"
"4970","Timm23","TIMM23"
"4971","Timm23b","TIMM23"
"4972","Spint1","SPINT1"
"4973","Rwdd2b","RWDD2B"
"4974","Stx18","STX18"
"4975","Ubn1","UBN1"
"4976","Tas2r118","TAS2R16"
"4977","Pard6a","PARD6A"
"4978","Spock3","SPOCK3"
"4979","Cklf","CKLF"
"4980","Tbx22","TBX22"
"4981","Olig1","OLIG1"
"4982","Myadm","MYADM"
"4983","Il22","IL22"
"4984","Gja3","GJA3"
"4985","Ogt","OGT"
"4986","Mrpl39","MRPL39"
"4987","Hoxc10","HOXC10"
"4988","Il1rapl2","IL1RAPL2"
"4989","Coq3","COQ3"
"4990","Galnt7","GALNT7"
"4991","Ptov1","PTOV1"
"4992","Duox2","DUOX2"
"4993","A4galt","A4GALT"
"4994","Mdm1","MDM1"
"4995","LOC100362333","POLE3"
"4996","Pole3","POLE3"
"4997","RGD1563888","C21orf91"
"4998","Baiap2","BAIAP2"
"4999","Enam","ENAM"
"5000","Ubqln3","UBQLN3"
"5001","Fev","FEV"
"5002","Cnot11","CNOT11"
"5003","Epdr1","EPDR1"
"5004","Fndc8","FNDC8"
"5005","Il17rd","IL17RD"
"5006","Fam20a","FAM20A"
"5007","Nagk","NAGK"
"5008","Gramd1c","GRAMD1C"
"5009","Zranb1","ZRANB1"
"5010","Chrna9","CHRNA9"
"5011","Ube2q1","UBE2Q1"
"5012","Trim44","TRIM44"
"5013","Miox","MIOX"
"5014","Zc3h7b","ZC3H7B"
"5015","Nkiras2","NKIRAS2"
"5016","Vezt","VEZT"
"5017","Rnf111","RNF111"
"5018","Nsmce4a","NSMCE4A"
"5019","Rnpc3","RNPC3"
"5020","Alkbh4","ALKBH4"
"5021","Dnajb12","DNAJB12"
"5022","Cdkn2aip","CDKN2AIP"
"5023","Kctd9","KCTD9"
"5024","Med18","MED18"
"5025","Carmil1","CARMIL1"
"5026","Cnnm2","CNNM2"
"5027","Ahi1","AHI1"
"5028","Aftph","AFTPH"
"5029","Qpctl","QPCTL"
"5030","Gatad2a","GATAD2A"
"5031","Trpm6","TRPM6"
"5032","Ankrd10","ANKRD10"
"5033","Zfp280c","ZNF280C"
"5035","Fermt1","FERMT1"
"5036","Trpm7","TRPM7"
"5037","Bcas3","BCAS3"
"5038","Bspry","BSPRY"
"5039","Lrrc49","LRRC49"
"5040","Bivm","BIVM"
"5041","Mfsd6","MFSD6"
"5042","Esrp1","ESRP1"
"5043","Ankrd49","ANKRD49"
"5044","Paqr5","PAQR5"
"5045","Wdr55","WDR55"
"5046","Fam83e","FAM83E"
"5047","Gdpd2","GDPD2"
"5048","Pgpep1","PGPEP1"
"5049","Elp6","ELP6"
"5050","Tasp1","TASP1"
"5051","Snrk","SNRK"
"5052","Stap2","STAP2"
"5053","Ppp1r14d","PPP1R14D"
"5054","Tmem214","TMEM214"
"5055","Tmem104","TMEM104"
"5056","Qrich1","QRICH1"
"5057","Palmd","PALMD"
"5058","Cntln","CNTLN"
"5059","Pomgnt1","POMGNT1"
"5060","Zcchc2","ZCCHC2"
"5061","Bcor","BCOR"
"5062","Smpd4","SMPD4"
"5063","Plppr1","PLPPR1"
"5064","Uhrf1bp1","UHRF1BP1"
"5065","Nsun2","NSUN2"
"5066","Alkbh5","ALKBH5"
"5067","Ino80d","INO80D"
"5068","Ncapg2","NCAPG2"
"5069","Pnrc2","PNRC2"
"5070","Mtmr10","MTMR10"
"5071","Casz1","CASZ1"
"5072","Lrrc40","LRRC40"
"5073","Pxk","PXK"
"5074","Ttc19","TTC19"
"5075","Mks1","MKS1"
"5076","Depdc1","DEPDC1"
"5077","Spdl1","SPDL1"
"5078","Sybu","SYBU"
"5079","Wbp1l","WBP1L"
"5080","Flvcr2","FLVCR2"
"5081","Focad","FOCAD"
"5082","Ythdf1","YTHDF1"
"5083","Cmtm6","CMTM6"
"5084","Rasip1","RASIP1"
"5085","Chchd3","CHCHD3"
"5086","Bpnt2","BPNT2"
"5087","LOC100910881","BPNT2"
"5088","Tmem161a","TMEM161A"
"5089","Haus4","HAUS4"
"5090","Rab20","RAB20"
"5091","Wrap73","WRAP73"
"5092","Trmt10c","TRMT10C"
"5093","Marchf5","MARCHF5"
"5094","Adprs","ADPRS"
"5095","Sohlh2","CCDC169-SOHLH2"
"5096","Commd4","COMMD4"
"5097","Ociad1","OCIAD1"
"5098","Dnajc28","DNAJC28"
"5099","Slc41a2","SLC41A2"
"5100","Lpcat1","LPCAT1"
"5101","Mrpl16","MRPL16"
"5102","Commd8","COMMD8"
"5103","Tmem127","TMEM127"
"5104","Parp16","PARP16"
"5105","Txnl4b","TXNL4B"
"5106","Tmem160","TMEM160"
"5107","Gemin8","GEMIN8"
"5108","RGD1359334","C1orf56"
"5109","Pigx","PIGX"
"5110","Zfp692","ZNF692"
"5111","Tmem70","TMEM70"
"5112","Ints11","INTS11"
"5113","Asb6","ASB6"
"5114","Slc35f6","SLC35F6"
"5115","RGD1306746","C2orf42"
"5116","Cln6","CLN6"
"5117","Wdr13","WDR13"
"5118","Hcfc1r1","HCFC1R1"
"5119","LOC100910481","MTARC2"
"5120","Tpcn1","TPCN1"
"5121","Hif1an","HIF1AN"
"5122","Lamtor1","LAMTOR1"
"5123","LOC100361543","LAMTOR1"
"5124","Zfp446","ZNF446"
"5125","Fam118a","FAM118A"
"5126","Cdc37l1","CDC37L1"
"5127","Pih1d1","PIH1D1"
"5128","Ppp2r3c","PPP2R3C"
"5129","Mcu","MCU"
"5130","Stx17","STX17"
"5131","RGD1308430","C14orf119"
"5132","Pex26","PEX26"
"5133","Bank1","BANK1"
"5134","Tmem255a","TMEM255A"
"5135","MGC95210","C17orf80"
"5136","Usp47","USP47"
"5137","Slc35a5","SLC35A5"
"5138","Mocos","MOCOS"
"5139","Cuedc1","CUEDC1"
"5140","Cdca4","CDCA4"
"5141","Plekhb2","PLEKHB2"
"5142","Mrpl20","MRPL20"
"5143","Gpatch2l","GPATCH2L"
"5144","LOC100910636","ZCWPW1"
"5145","RGD1566138","ZCWPW1"
"5146","Zcwpw1","ZCWPW1"
"5147","Pdpr","PDPR"
"5148","Kansl3","KANSL3"
"5149","Tmem248","TMEM248"
"5150","Det1","DET1"
"5151","Mreg","MREG"
"5152","Fezf2","FEZF2"
"5153","Tapbpl","TAPBPL"
"5154","Arglu1","ARGLU1"
"5155","Radx","RADX"
"5156","Ccdc186","CCDC186"
"5157","Tmem51","TMEM51"
"5158","Yeats2","YEATS2"
"5159","Ntaq1","NTAQ1"
"5160","Pacs1","PACS1"
"5161","Frmd4a","FRMD4A"
"5162","Wdr70","WDR70"
"5163","Dmac2","DMAC2"
"5164","Arhgap17","ARHGAP17"
"5165","Tmem39a","TMEM39A"
"5166","Prpf38b","PRPF38B"
"5167","Fancl","FANCL"
"5168","Akirin2","AKIRIN2"
"5169","Trim68","TRIM68"
"5170","Odad2","ODAD2"
"5171","Srbd1","SRBD1"
"5172","Wrap53","WRAP53"
"5173","Zfp358","ZNF358"
"5174","Haus2","HAUS2"
"5175","LOC100912076","HAUS2"
"5176","Efhc1","EFHC1"
"5177","Lrrc8d","LRRC8D"
"5178","Thap1","THAP1"
"5179","Zdhhc4","ZDHHC4"
"5180","Mtpap","MTPAP"
"5181","Dok4","DOK4"
"5182","Tmem38b","TMEM38B"
"5183","Armc1","ARMC1"
"5184","Arhgef10l","ARHGEF10L"
"5185","Tmem33","TMEM33"
"5186","Cep55","CEP55"
"5187","Msl2","MSL2"
"5188","LOC100911617","PRMT6"
"5189","Prmt6","PRMT6"
"5190","Dnaaf2","DNAAF2"
"5191","Cep72","CEP72"
"5192","Mrps10","MRPS10"
"5193","Ints10","INTS10"
"5194","Klhl11","KLHL11"
"5195","Mrm3","MRM3"
"5196","Lins1","LINS1"
"5197","Rnf220","RNF220"
"5198","Dzank1","DZANK1"
"5199","Slc25a36","SLC25A36"
"5200","Ints13","INTS13"
"5201","Pbrm1","PBRM1"
"5202","Appl2","APPL2"
"5203","Map1s","MAP1S"
"5204","Lgi2","LGI2"
"5205","Atf7ip","ATF7IP"
"5206","Zfp532","ZNF532"
"5207","Fam222b","FAM222B"
"5208","Sbno1","SBNO1"
"5209","Arl8b","ARL8B"
"5210","LOC498265","C1orf112"
"5211","Atad3a","ATAD3A"
"5212","Rcbtb1","RCBTB1"
"5213","P3h2","P3H2"
"5214","Exd2","EXD2"
"5215","Tbc1d13","TBC1D13"
"5216","Klhdc8a","KLHDC8A"
"5217","Ckap2","CKAP2"
"5218","LOC691173","CKAP2"
"5219","Trim62","TRIM62"
"5220","Pnma8a","PNMA8A"
"5221","Edem2","EDEM2"
"5222","Mob1a","MOB1A"
"5223","Parva","PARVA"
"5224","Chfr","CHFR"
"5225","Smu1","SMU1"
"5226","Uba6","UBA6"
"5227","Ap5m1","AP5M1"
"5228","Steap3","STEAP3"
"5229","Cndp2","CNDP2"
"5230","Ccar1","CCAR1"
"5231","Kirrel1","KIRREL1"
"5232","Neil3","NEIL3"
"5233","Pacc1","PACC1"
"5234","Wdr12","WDR12"
"5235","Pcmtd2","PCMTD2"
"5236","Ttc17","TTC17"
"5237","Asxl2","ASXL2"
"5238","Inava","INAVA"
"5239","LOC100910098","MRGBP"
"5240","Mrgbp","MRGBP"
"5241","Tmem143","TMEM143"
"5242","Trappc14","TRAPPC14"
"5243","Tmem19","TMEM19"
"5244","Pspc1","PSPC1"
"5245","Nudt15","NUDT15"
"5246","Tmem100","TMEM100"
"5247","Phf10","PHF10"
"5248","Zfp654","ZNF654"
"5249","Tmem140","TMEM140"
"5250","Ngly1","NGLY1"
"5251","Mcoln3","MCOLN3"
"5252","Ube2wl","UBE2W"
"5253","Rbm41","RBM41"
"5254","Exoc2","EXOC2"
"5255","Prr11","PRR11"
"5256","Tmem40","TMEM40"
"5257","Tbc1d23","TBC1D23"
"5258","Brf2","BRF2"
"5259","Tbc1d19","TBC1D19"
"5260","Ccdc91","CCDC91"
"5261","Rnf121","RNF121"
"5262","Brix1","BRIX1"
"5263","Olah","OLAH"
"5264","RGD1359108","C9orf72"
"5265","Zfp444","ZNF444"
"5266","Cpped1","CPPED1"
"5267","Cmtr2","CMTR2"
"5268","Tma16","TMA16"
"5269","Mis18bp1","MIS18BP1"
"5270","Tmem74b","TMEM74B"
"5271","RGD1306502","C5orf22"
"5272","Ufsp2","UFSP2"
"5273","Agpat5","AGPAT5"
"5274","Rsbn1","RSBN1"
"5275","Bloc1s4","BLOC1S4"
"5276","Lmbrd1","LMBRD1"
"5277","Depdc1b","DEPDC1B"
"5278","Lrif1","LRIF1"
