"","Symbol_Mouse","Symbol_Human"
"4416","Taf5l","TAF5L"
"4417","Zbtb11","ZBTB11"
"4418","Bbc3","BBC3"
"4419","Dkk4","DKK4"
"4420","Dkk2","DKK2"
"4421","Inpp5j","INPP5J"
"4422","Aff4","AFF4"
"4423","Il20ra","IL20RA"
"4424","Naaa","NAAA"
"4425","Il36a","IL36A"
"4426","Il17b","IL17B"
"4427","Tubgcp4","TUBGCP4"
"4428","Serp1","SERP1"
"4429","Arfip1","ARFIP1"
"4430","Sit1","SIT1"
"4431","Tnfrsf21","TNFRSF21"
"4432","Sesn1","SESN1"
"4433","Klhl20","KLHL20"
"4434","Pcdh17","PCDH17"
"4435","Csdc2","CSDC2"
"4436","Cntn6","CNTN6"
"4437","Srpx2","SRPX2"
"4438","Rnd1","RND1"
"4439","R3hcc1l","R3HCC1L"
"4440","Smpdl3b","SMPDL3B"
"4441","Dhdh","DHDH"
"4442","Adamdec1","ADAMDEC1"
"4443","Zfp330","ZNF330"
"4444","Golim4","GOLIM4"
"4445","P2ry10","P2RY10"
"4446","Rabgef1","RABGEF1"
"4447","Kcnmb4","KCNMB4"
"4448","Sh3bp4","SH3BP4"
"4449","Tmod3","TMOD3"
"4450","Card10","CARD10"
"4451","Tfcp2l1","TFCP2L1"
"4452","Senp1","SENP1"
"4453","Galnt5","GALNT5"
"4454","Zkscan5","ZKSCAN5"
"4455","Arfgap2","ARFGAP2"
"4456","Ero1b","ERO1B"
"4457","Hunk","HUNK"
"4458","Vsx1","VSX1"
"4459","Nt5c","NT5C"
"4460","Tax1bp3","TAX1BP3"
"4461","Fam120a","FAM120A"
"4462","Faf2","FAF2"
"4463","Brinp1","BRINP1"
"4464","Zfp592","ZNF592"
"4465","Mical2","MICAL2"
"4466","Mtfr1","MTFR1"
"4467","Ttll4","TTLL4"
"4468","Iqcb1","IQCB1"
"4469","Lpin2","LPIN2"
"4470","Dzip3","DZIP3"
"4471","Phf14","PHF14"
"4472","Fam53b","FAM53B"
"4473","Greb1","GREB1"
"4474","Ube3c","UBE3C"
"4475","Emc2","EMC2"
"4476","Cep57","CEP57"
"4477","St18","ST18"
"4478","Garre1","GARRE1"
"4479","Fam131b","FAM131B"
"4480","Adamtsl2","ADAMTSL2"
"4481","Zfp646","ZNF646"
"4482","Rab11fip4","RAB11FIP4"
"4483","9330159F19Rik","KIAA0408"
"4484","Dcaf1","DCAF1"
"4485","Gprasp1","GPRASP1"
"4486","Ccp110","CCP110"
"4487","Arhgap32","ARHGAP32"
"4488","Zfp536","ZNF536"
"4489","Clstn1","CLSTN1"
"4490","Tcaf1","TCAF1"
"4491","Phactr2","PHACTR2"
"4492","Snph","SNPH"
"4493","Tbkbp1","TBKBP1"
"4494","Tox","TOX"
"4495","Mlec","MLEC"
"4496","Lzts3","LZTS3"
"4497","6430548M08Rik","KIAA0513"
"4498","Zfyve16","ZFYVE16"
"4499","Pclaf","PCLAF"
"4500","Tmem94","TMEM94"
"4501","Bclaf1","BCLAF1"
"4502","Tbc1d5","TBC1D5"
"4503","Rims3","RIMS3"
"4504","Snx17","SNX17"
"4505","2700049A03Rik","KIAA0586"
"4506","Dlgap5","DLGAP5"
"4507","Mtss1","MTSS1"
"4508","Spcs2","SPCS2"
"4509","Sertad2","SERTAD2"
"4510","Ckap5","CKAP5"
"4511","Maml1","MAML1"
"4512","Snx19","SNX19"
"4513","Phyhip","PHYHIP"
"4514","Tatdn2","TATDN2"
"4515","Ist1","IST1"
"4516","Dhcr24","DHCR24"
"4517","Mrpl19","MRPL19"
"4518","Scrn1","SCRN1"
"4519","Spock2","SPOCK2"
"4520","Rnf40","RNF40"
"4521","Efcab14","EFCAB14"
"4522","Urb2","URB2"
"4523","Tsc22d2","TSC22D2"
"4524","Arhgap11a","ARHGAP11A"
"4525","Rgp1","RGP1"
"4526","Dnajc6","DNAJC6"
"4527","Jakmip2","JAKMIP2"
"4528","Zeb2","ZEB2"
"4529","Zbtb24","ZBTB24"
"4530","Plekhm1","PLEKHM1"
"4531","C2cd5","C2CD5"
"4532","4933427D14Rik","KIAA0753"
"4533","Epm2aip1","EPM2AIP1"
"4534","C2cd2l","C2CD2L"
"4535","Farp2","FARP2"
"4536","D130043K22Rik","KIAA0319"
"4537","Cep350","CEP350"
"4538","Lrig2","LRIG2"
"4539","Arel1","AREL1"
"4540","Fchsd2","FCHSD2"
"4541","Zc3h11a","ZC3H11A"
"4542","Tox4","TOX4"
"4543","Zbtb39","ZBTB39"
"4544","Rhobtb1","RHOBTB1"
"4545","Plppr4","PLPPR4"
"4546","Nuak1","NUAK1"
"4547","Tecpr2","TECPR2"
"4548","Washc5","WASHC5"
"4549","Klhl21","KLHL21"
"4550","Tmcc2","TMCC2"
"4551","Supt7l","SUPT7L"
"4552","Chst15","CHST15"
"4553","Fam20b","FAM20B"
"4554","Zbtb40","ZBTB40"
"4555","Zbtb5","ZBTB5"
"4556","Lpgat1","LPGAT1"
"4557","Mfn2","MFN2"
"4558","Kif14","KIF14"
"4559","Helz","HELZ"
"4560","Cd302","CD302"
"4561","Dclre1a","DCLRE1A"
"4562","Sugp2","SUGP2"
"4563","Fam3c","FAM3C"
"4564","Pdap1","PDAP1"
"4565","Scaf8","SCAF8"
"4566","Cep162","CEP162"
"4567","Rhobtb3","RHOBTB3"
"4568","Cobll1","COBLL1"
"4569","Rnf44","RNF44"
"4570","Dlgap4","DLGAP4"
"4571","Rab11fip2","RAB11FIP2"
"4572","Frmpd1","FRMPD1"
"4573","Dolk","DOLK"
"4574","Vash1","VASH1"
"4575","Zfp507","ZNF507"
"4576","Adnp2","ADNP2"
"4577","Lmtk2","LMTK2"
"4578","Ntng1","NTNG1"
"4579","Chsy1","CHSY1"
"4580","Adgrl1","ADGRL1"
"4581","Fndc3a","FNDC3A"
"4582","R3hdm2","R3HDM2"
"4583","Slitrk3","SLITRK3"
"4584","Cnksr2","CNKSR2"
"4585","Fastkd2","FASTKD2"
"4586","Inpp5f","INPP5F"
"4587","Morc2a","MORC2"
"4588","Ankrd6","ANKRD6"
"4589","Zhx2","ZHX2"
"4590","Spast","SPAST"
"4591","Ubox5","UBOX5"
"4592","Zbtb1","ZBTB1"
"4593","Zfp365","ZNF365"
"4594","Bahd1","BAHD1"
"4595","Arsg","ARSG"
"4596","Btbd3","BTBD3"
"4597","Sbno2","SBNO2"
"4598","Wdr47","WDR47"
"4599","Sorcs3","SORCS3"
"4600","Pcnx2","PCNX2"
"4601","Rab21","RAB21"
"4602","Exosc7","EXOSC7"
"4603","Tmcc1","TMCC1"
"4604","Usp33","USP33"
"4605","Wdtc1","WDTC1"
"4606","Zhx3","ZHX3"
"4607","Emc1","EMC1"
"4608","Cmtr1","CMTR1"
"4609","Hecw1","HECW1"
"4610","Mycbp2","MYCBP2"
"4611","Pprc1","PPRC1"
"4612","Exph5","EXPH5"
"4613","Zfp423","ZNF423"
"4614","Ttll5","TTLL5"
"4615","Sarm1","SARM1"
"4616","Tab2","TAB2"
"4617","Hic2","HIC2"
"4618","Camta2","CAMTA2"
"4619","Pogz","POGZ"
"4620","Nphp4","NPHP4"
"4621","Zzef1","ZZEF1"
"4622","Dcun1d5","DCUN1D5"
"4623","Zc3h3","ZC3H3"
"4624","Fcho2","FCHO2"
"4625","Clcc1","CLCC1"
"4626","Mprip","MPRIP"
"4627","Stab1","STAB1"
"4628","Ttll12","TTLL12"
"4629","Zcchc14","ZCCHC14"
"4630","Pask","PASK"
"4631","Rgl1","RGL1"
"4632","Phf3","PHF3"
"4633","Acsbg1","ACSBG1"
"4634","Trim9","TRIM9"
"4635","Jmjd6","JMJD6"
"4636","Fbxo28","FBXO28"
"4637","Plcl2","PLCL2"
"4638","Arhgef9","ARHGEF9"
"4639","Sel1l3","SEL1L3"
"4640","Dnajc9","DNAJC9"
"4641","Arc","ARC"
"4642","Tmem131l","TMEM131L"
"4643","Cobl","COBL"
"4644","Ankrd12","ANKRD12"
"4645","Dnmbp","DNMBP"
"4646","Tasor","TASOR"
"4647","Cluh","CLUH"
"4648","Arap2","ARAP2"
"4649","Adgrf5","ADGRF5"
"4650","Agtpbp1","AGTPBP1"
"4651","Anks1","ANKS1A"
"4652","Cyld","CYLD"
"4653","Bicd2","BICD2"
"4654","Kif13b","KIF13B"
"4655","Trim71","TRIM71"
"4656","Synm","SYNM"
"4657","Jade2","JADE2"
"4658","Trim37","TRIM37"
"4659","Fnbp4","FNBP4"
"4660","Arhgef12","ARHGEF12"
"4661","Larp1","LARP1"
"4662","Ppp1r13b","PPP1R13B"
"4663","Ufl1","UFL1"
"4664","Smg5","SMG5"
"4665","Nudcd3","NUDCD3"
"4666","Asxl1","ASXL1"
"4667","Ppwd1","PPWD1"
"4668","Ctdnep1","CTDNEP1"
"4669","Zfyve26","ZFYVE26"
"4670","Lrrc8b","LRRC8B"
"4671","Pofut1","POFUT1"
"4672","R3hdm1","R3HDM1"
"4673","Ly96","LY96"
"4674","Bcl2l13","BCL2L13"
"4675","Hephl1","HEPHL1"
"4676","Sun2","SUN2"
"4677","Bri3","BRI3"
"4678","Hectd1","HECTD1"
"4679","Mob4","MOB4"
"4680","Yipf3","YIPF3"
"4681","Tecpr1","TECPR1"
"4682","Armc8","ARMC8"
"4683","Brms1l","BRMS1L"
"4684","Hdac7","HDAC7"
"4685","Abhd14b","ABHD14B"
"4686","Nepro","NEPRO"
"4687","Letmd1","LETMD1"
"4688","Tmem186","TMEM186"
"4689","Aasdhppt","AASDHPPT"
"4690","Pamr1","PAMR1"
"4691","Trim58","TRIM58"
"4692","Ints7","INTS7"
"4693","Kansl1","KANSL1"
"4694","Tmem158","TMEM158"
"4695","Ahctf1","AHCTF1"
"4696","Dpcd","DPCD"
"4697","Zdhhc5","ZDHHC5"
"4698","Mtmr9","MTMR9"
"4699","Atl3","ATL3"
"4700","Myrip","MYRIP"
"4701","Zfp521","ZNF521"
"4702","Cnrip1","CNRIP1"
"4703","Sostdc1","SOSTDC1"
"4704","Gemin5","GEMIN5"
"4705","Rab11fip5","RAB11FIP5"
"4706","Wwtr1","WWTR1"
"4707","Samhd1","SAMHD1"
"4708","Tpgs2","TPGS2"
"4709","Nectin3","NECTIN3"
"4710","Kank2","KANK2"
"4711","Tmem87a","TMEM87A"
"4712","Egfl6","EGFL6"
"4713","Tiparp","TIPARP"
"4714","Necap2","NECAP2"
"4715","Aar2","AAR2"
"4716","Krt23","KRT23"
"4717","Hinfp","HINFP"
"4718","Clip3","CLIP3"
"4719","Tbc1d10b","TBC1D10B"
"4720","Gorasp2","GORASP2"
"4721","Polr2m","POLR2M"
"4722","Zzz3","ZZZ3"
"4723","Tmem98","TMEM98"
"4724","Zfp451","ZNF451"
"4725","Sipa1l1","SIPA1L1"
"4726","Ss18l1","SS18L1"
"4727","Setbp1","SETBP1"
"4728","Slitrk5","SLITRK5"
"4729","Ppp1r16b","PPP1R16B"
"4730","Senp6","SENP6"
"4731","Rai14","RAI14"
"4732","Poldip2","POLDIP2"
"4733","Gpatch4","GPATCH4"
"4734","Arhgef26","ARHGEF26"
"4735","Pgm3","PGM3"
"4736","Tor1aip1","TOR1AIP1"
"4737","Ccdc9","CCDC9"
"4738","Dcaf4","DCAF4"
"4739","Szrd1","SZRD1"
"4740","Lrit1","LRIT1"
"4741","Wsb1","WSB1"
"4742","Ldlrap1","LDLRAP1"
"4743","Tctn3","TCTN3"
"4744","Fgfr1op2","FGFR1OP2"
"4745","Kifbp","KIFBP"
"4746","Trpc4ap","TRPC4AP"
"4747","Zbtb20","ZBTB20"
"4748","C1qtnf5","C1QTNF5"
"4749","Ribc2","RIBC2"
"4750","Nat9","NAT9"
"4751","Aaas","AAAS"
"4752","Mtg2","MTG2"
"4753","Senp3","SENP3"
"4754","Cnppd1","CNPPD1"
"4755","Sdcbp2","SDCBP2"
"4756","Erlec1","ERLEC1"
"4757","Mmadhc","MMADHC"
"4758","Sgsm3","SGSM3"
"4759","Bicra","BICRA"
"4760","Pla2g3","PLA2G3"
"4761","Cd207","CD207"
"4762","Col5a3","COL5A3"
"4763","Podxl2","PODXL2"
"4764","Caly","CALY"
"4765","Rbp3","RBP3"
"4766","Sufu","SUFU"
"4767","Shroom3","SHROOM3"
"4768","Lpin1","LPIN1"
"4769","Prok2","PROK2"
"4770","Sall2","SALL2"
"4771","Fbh1","FBH1"
"4772","Fbxo16","FBXO16"
"4773","Fbxo6","FBXO6"
"4774","Hs6st2","HS6ST2"
"4775","Fbxl8","FBXL8"
"4776","Dmrt1","DMRT1"
"4777","Adar","ADAR"
"4778","Ubxn1","UBXN1"
"4779","Ripor2","RIPOR2"
"4780","Slc14a1","SLC14A1"
"4781","Mbtps2","MBTPS2"
"4782","Hook1","HOOK1"
"4783","Prlh","PRLH"
"4784","Gmnn","GMNN"
"4785","Zmynd10","ZMYND10"
"4786","Pla1a","PLA1A"
"4787","Ubr5","UBR5"
"4788","Trim33","TRIM33"
"4789","Srrt","SRRT"
"4790","Wdpcp","WDPCP"
"4791","Zfp691","ZNF691"
"4792","Txndc11","TXNDC11"
"4793","Atl1","ATL1"
"4794","Calhm2","CALHM2"
"4795","Cuta","CUTA"
"4796","Lsr","LSR"
"4797","Mterf3","MTERF3"
"4798","Amdhd2","AMDHD2"
"4799","Slc35b3","SLC35B3"
"4800","Nosip","NOSIP"
"4801","Tmx2","TMX2"
"4802","Cutc","CUTC"
"4803","Mrps17","MRPS17"
"4804","Mrps7","MRPS7"
"4805","Cryl1","CRYL1"
"4806","Uchl5","UCHL5"
"4807","Crlf3","CRLF3"
"4808","Pllp","PLLP"
"4809","Rrnad1","RRNAD1"
"4810","Trnt1","TRNT1"
"4811","Sccpdh","SCCPDH"
"4812","Ift52","IFT52"
"4813","Dync2li1","DYNC2LI1"
"4814","Sh3glb1","SH3GLB1"
"4815","Zc2hc1a","ZC2HC1A"
"4816","Phf20l1","PHF20L1"
"4817","Tfb1m","TFB1M"
"4818","Aph1a","APH1A"
"4819","Lactb2","LACTB2"
"4820","Dhrs7","DHRS7"
"4821","Rtraf","RTRAF"
"4822","Derl2","DERL2"
"4823","Exosc1","EXOSC1"
"4824","Sf3b6","SF3B6"
"4825","Isoc1","ISOC1"
"4826","Washc3","WASHC3"
"4827","Copz1","COPZ1"
"4828","Ppil1","PPIL1"
"4829","Med31","MED31"
"4830","Mrps16","MRPS16"
"4831","Mrps18c","MRPS18C"
"4832","Vps36","VPS36"
"4833","Glod4","GLOD4"
"4834","Styxl1","STYXL1"
"4835","Rbm7","RBM7"
"4836","Eif3l","EIF3L"
"4837","Commd2","COMMD2"
"4838","Mpc1","MPC1"
"4839","Golga7","GOLGA7"
"4840","Trim17","TRIM17"
"4841","Asb1","ASB1"
"4842","Asb3","ASB3"
"4843","Asb3","GPR75-ASB3"
"4844","Asb4","ASB4"
"4845","Kctd3","KCTD3"
"4846","Cep83","CEP83"
"4847","Saraf","SARAF"
"4848","Insig2","INSIG2"
"4849","Cpq","CPQ"
"4850","Dync1li1","DYNC1LI1"
"4851","Commd10","COMMD10"
"4852","Ubac1","UBAC1"
"4853","Oaz3","OAZ3"
"4854","Slc45a2","SLC45A2"
"4856","Serpina10","SERPINA10"
"4857","Crnn","CRNN"
"4858","Tmeff2","TMEFF2"
"4859","Kif20b","KIF20B"
"4860","Lsm8","LSM8"
"4861","Amotl2","AMOTL2"
"4862","Pdgfc","PDGFC"
"4863","Trappc2l","TRAPPC2L"
"4864","6430571L13Rik","C3orf18"
"4865","Trip4","TRIP4"
"4866","Egfl7","EGFL7"
"4867","Dbr1","DBR1"
"4868","Dctn4","DCTN4"
"4869","Ddx41","DDX41"
"4870","Vps29","VPS29"
"4871","Gprc5b","GPRC5B"
"4872","Scara3","SCARA3"
"4873","Emcn","EMCN"
"4874","Impg2","IMPG2"
"4875","Hpcal4","HPCAL4"
"4876","Tubd1","TUBD1"
"4877","Fzr1","FZR1"
"4878","Vgll1","VGLL1"
"4879","Rnf138","RNF138"
"4880","Tob2","TOB2"
"4881","Plekho1","PLEKHO1"
"4882","Cdh9","CDH9"
"4883","Cnot1","CNOT1"
"4884","Uimc1","UIMC1"
"4885","Trap1","TRAP1"
"4886","Pcyox1","PCYOX1"
"4887","Fbxo40","FBXO40"
"4888","Crbn","CRBN"
"4889","Rsl24d1","RSL24D1"
"4890","Dnajb11","DNAJB11"
"4891","Gulp1","GULP1"
"4892","Rhbg","RHBG"
"4893","Upb1","UPB1"
"4894","Sfmbt1","SFMBT1"
"4895","Zfp639","ZNF639"
"4896","Gpr89","GPR89A"
"4897","Gpr89","GPR89B"
"4898","Plce1","PLCE1"
"4899","Nat8","NAT8"
"4900","Slco4a1","SLCO4A1"
"4901","Dcdc2a","DCDC2"
"4902","Lima1","LIMA1"
"4903","Irx4","IRX4"
"4904","Ghrl","GHRL"
"4905","Gp6","GP6"
"4906","Cldn18","CLDN18"
"4907","Ankfy1","ANKFY1"
"4908","Cd244a","CD244"
"4909","Hacd3","HACD3"
"4910","Nelfcd","NELFCD"
"4911","Hypk","HYPK"
"4912","Cwc15","CWC15"
"4913","Ufc1","UFC1"
"4914","Rtf2","RTF2"
"4915","Cdk5rap1","CDK5RAP1"
"4916","Rnf141","RNF141"
"4917","Zfp219","ZNF219"
"4918","Abi3","ABI3"
"4919","Phf20","PHF20"
"4920","Higd1b","HIGD1B"
"4921","Vrk3","VRK3"
"4922","Crim1","CRIM1"
"4923","Mpp5","MPP5"
"4924","Nckipsd","NCKIPSD"
"4925","Tmem9","TMEM9"
"4926","Prkd2","PRKD2"
"4927","Cxxc5","CXXC5"
"4928","Tmem138","TMEM138"
"4929","Ankrd39","ANKRD39"
"4930","Cox16","COX16"
"4931","Oser1","OSER1"
"4932","Gskip","GSKIP"
"4933","Ccdc174","CCDC174"
"4934","Jkamp","JKAMP"
"4935","Pdzd11","PDZD11"
"4936","Tmem69","TMEM69"
"4937","Pphln1","PPHLN1"
"4938","Nt5c3","NT5C3A"
"4939","Mrpl37","MRPL37"
"4940","Rnf181","RNF181"
"4941","Tbc1d7","TBC1D7"
"4942","Marchf2","MARCHF2"
"4943","Tmem216","TMEM216"
"4944","Pbdc1","PBDC1"
"4945","Mrpl27","MRPL27"
"4946","Scly","SCLY"
"4947","Clec1a","CLEC1A"
"4948","BC005624","C9orf78"
"4949","Syt17","SYT17"
"4950","Ubap1","UBAP1"
"4951","Ninj2","NINJ2"
"4952","Dnajc27","DNAJC27"
"4953","C1rl","C1RL"
"4954","Tm7sf3","TM7SF3"
"4955","Ankmy1","ANKMY1"
"4956","Pex5l","PEX5L"
"4957","Bfar","BFAR"
"4958","Rasl12","RASL12"
"4959","Coa4","COA4"
"4960","Rxfp3","RXFP3"
"4961","Lgsn","LGSN"
"4962","Gmip","GMIP"
"4963","Nt5dc3","NT5DC3"
"4964","Cd320","CD320"
"4965","Pcdh12","PCDH12"
"4966","Mbip","MBIP"
"4967","Nrn1","NRN1"
"4968","Timmdc1","TIMMDC1"
"4969","Cyp39a1","CYP39A1"
"4970","Fkbp11","FKBP11"
"4971","Zdhhc3","ZDHHC3"
"4972","Myoz2","MYOZ2"
"4973","Fam13b","FAM13B"
"4974","Fam53c","FAM53C"
"4975","Armcx3","ARMCX3"
"4976","Armcx1","ARMCX1"
"4977","Gask1b","GASK1B"
"4978","Tdp2","TDP2"
"4979","Slc6a13","SLC6A13"
"4980","Nme8","NME8"
"4981","Ufm1","UFM1"
"4982","Krcc1","KRCC1"
"4983","Phf21a","PHF21A"
"4984","Mrpl35","MRPL35"
"4985","Cyrib","CYRIB"
"4986","Mex3c","MEX3C"
"4987","Amz2","AMZ2"
"4988","Spg21","SPG21"
"4989","Paxbp1","PAXBP1"
"4990","Arl6ip4","ARL6IP4"
"4991","Mrps30","MRPS30"
"4992","Dact1","DACT1"
"4993","Syt3","SYT3"
"4994","Sntb1","SNTB1"
"4995","Cntfr","CNTFR"
"4996","Cldn1","CLDN1"
"4997","Cldn2","CLDN2"
"4998","Reck","RECK"
"4999","Incenp","INCENP"
"5000","Clec4f","CLEC4F"
"5001","Dnajc5","DNAJC5"
"5002","Bok","BOK"
"5003","Mzf1","MZF1"
"5004","Banp","BANP"
"5005","Rbms1","RBMS1"
"5006","Acrbp","ACRBP"
"5007","Rab33b","RAB33B"
"5008","Pdlim1","PDLIM1"
"5009","Hif3a","HIF3A"
"5010","Deaf1","DEAF1"
"5011","Cldn7","CLDN7"
"5012","Fut8","FUT8"
"5013","Timm23","TIMM23"
"5014","Spint1","SPINT1"
"5015","Rwdd2b","RWDD2B"
"5016","Stx18","STX18"
"5017","Ubn1","UBN1"
"5018","Tas2r118","TAS2R16"
"5019","Pard6a","PARD6A"
"5020","Spock3","SPOCK3"
"5021","Cklf","CKLF"
"5022","Tbx22","TBX22"
"5023","Olig1","OLIG1"
"5024","Myadm","MYADM"
"5025","Il22","IL22"
"5026","Il22b","IL22"
"5027","Gja3","GJA3"
"5028","Ogt","OGT"
"5029","Mrpl39","MRPL39"
"5030","Hoxc10","HOXC10"
"5031","Il1rapl2","IL1RAPL2"
"5032","Coq3","COQ3"
"5033","Galnt7","GALNT7"
"5034","Ptov1","PTOV1"
"5035","Duox2","DUOX2"
"5036","A4galt","A4GALT"
"5037","Mdm1","MDM1"
"5038","Pole3","POLE3"
"5039","D16Ertd472e","C21orf91"
"5040","Baiap2","BAIAP2"
"5041","Enam","ENAM"
"5042","Ubqln3","UBQLN3"
"5043","Fev","FEV"
"5044","Cnot11","CNOT11"
"5045","Foxred1","FOXRED1"
"5046","Epdr1","EPDR1"
"5047","Fndc8","FNDC8"
"5048","Il17rd","IL17RD"
"5049","Fam20a","FAM20A"
"5050","Nagk","NAGK"
"5051","Zranb1","ZRANB1"
"5052","Chrna9","CHRNA9"
"5053","Ube2q1","UBE2Q1"
"5054","Trim44","TRIM44"
"5055","Miox","MIOX"
"5056","Btg4","BTG4"
"5057","Zc3h7b","ZC3H7B"
"5058","Nkiras2","NKIRAS2"
"5059","Vezt","VEZT"
"5060","Rnf111","RNF111"
"5061","Nsmce4a","NSMCE4A"
"5062","Rnpc3","RNPC3"
"5063","Alkbh4","ALKBH4"
"5064","Dnajb12","DNAJB12"
"5065","Cdkn2aip","CDKN2AIP"
"5066","Kctd9","KCTD9"
"5067","Med18","MED18"
"5068","Carmil1","CARMIL1"
"5069","Haus6","HAUS6"
"5070","Cnnm2","CNNM2"
"5071","Ahi1","AHI1"
"5072","Aftph","AFTPH"
"5073","Qpctl","QPCTL"
"5074","Gatad2a","GATAD2A"
"5075","Trpm6","TRPM6"
"5076","Ankrd10","ANKRD10"
"5077","Zfp280c","ZNF280C"
"5079","Fermt1","FERMT1"
"5080","Trpm7","TRPM7"
"5081","Bcas3","BCAS3"
"5082","Bspry","BSPRY"
"5083","Lrrc49","LRRC49"
"5084","Bivm","BIVM"
"5085","Mfsd6","MFSD6"
"5086","Esrp1","ESRP1"
"5087","Ankrd49","ANKRD49"
"5088","Paqr5","PAQR5"
"5089","Wdr55","WDR55"
"5090","Fam83e","FAM83E"
"5091","Gdpd2","GDPD2"
"5092","Pgpep1","PGPEP1"
"5093","Elp6","ELP6"
"5094","Tasp1","TASP1"
"5095","Snrk","SNRK"
"5096","Stap2","STAP2"
"5097","Ppp1r14d","PPP1R14D"
"5098","Tmem214","TMEM214"
"5099","Tmem104","TMEM104"
"5100","Qrich1","QRICH1"
"5101","Palmd","PALMD"
"5102","Cntln","CNTLN"
"5103","Pomgnt1","POMGNT1"
"5104","Zcchc2","ZCCHC2"
"5105","Bcor","BCOR"
"5106","Smpd4","SMPD4"
"5107","Plppr1","PLPPR1"
"5108","Uhrf1bp1","UHRF1BP1"
"5109","Nsun2","NSUN2"
"5110","Alkbh5","ALKBH5"
"5111","Ino80d","INO80D"
"5112","Ncapg2","NCAPG2"
"5113","Pnrc2","PNRC2"
"5114","Mtmr10","MTMR10"
"5115","Casz1","CASZ1"
"5116","Lrrc40","LRRC40"
"5117","Pxk","PXK"
"5118","Cdkal1","CDKAL1"
"5119","Ttc19","TTC19"
"5120","Mks1","MKS1"
"5121","Depdc1a","DEPDC1"
"5122","Spdl1","SPDL1"
"5123","Sybu","SYBU"
"5124","Wbp1l","WBP1L"
"5125","Flvcr2","FLVCR2"
"5126","Focad","FOCAD"
"5127","Ythdf1","YTHDF1"
"5128","Cmtm6","CMTM6"
"5129","Rasip1","RASIP1"
"5130","Chchd3","CHCHD3"
"5131","Bpnt2","BPNT2"
"5132","Tmem161a","TMEM161A"
"5133","Haus4","HAUS4"
"5134","Rab20","RAB20"
"5135","Wrap73","WRAP73"
"5136","Trmt10c","TRMT10C"
"5137","Marchf5","MARCHF5"
"5138","Adprs","ADPRS"
"5139","Sohlh2","CCDC169-SOHLH2"
"5140","Commd4","COMMD4"
"5141","Ociad1","OCIAD1"
"5142","Dnajc28","DNAJC28"
"5143","Slc41a2","SLC41A2"
"5144","Lpcat1","LPCAT1"
"5145","Mrpl16","MRPL16"
"5146","Commd8","COMMD8"
"5147","Fam120c","FAM120C"
"5148","Tmem127","TMEM127"
"5149","Parp16","PARP16"
"5150","Txnl4b","TXNL4B"
"5151","Tmem160","TMEM160"
"5152","Gemin8","GEMIN8"
"5153","Gm128","C1orf56"
"5154","Pigx","PIGX"
"5155","Ints8","INTS8"
"5156","Zfp692","ZNF692"
"5157","Tmem70","TMEM70"
"5158","Ints11","INTS11"
"5159","Asb6","ASB6"
"5160","Slc35f6","SLC35F6"
"5161","C87436","C2orf42"
"5162","Cln6","CLN6"
"5163","Wdr13","WDR13"
"5164","Hcfc1r1","HCFC1R1"
"5165","Mtarc2","MTARC2"
"5166","Tpcn1","TPCN1"
"5167","Hif1an","HIF1AN"
"5168","Lamtor1","LAMTOR1"
"5169","Zfp446","ZNF446"
"5170","Fam118a","FAM118A"
"5171","Cdc37l1","CDC37L1"
"5172","Pih1d1","PIH1D1"
"5173","Ppp2r3c","PPP2R3C"
"5174","Mcu","MCU"
"5175","Stx17","STX17"
"5176","1700123O20Rik","C14orf119"
"5177","Pex26","PEX26"
"5178","Pid1","PID1"
"5179","Bank1","BANK1"
"5180","Tmem255a","TMEM255A"
"5181","D11Wsu47e","C17orf80"
"5182","Usp47","USP47"
"5183","Slc35a5","SLC35A5"
"5184","Mocos","MOCOS"
"5185","Cuedc1","CUEDC1"
"5186","Cdca4","CDCA4"
"5187","Plekhb2","PLEKHB2"
"5188","Mrpl20","MRPL20"
"5189","Gpatch2l","GPATCH2L"
"5190","Zcwpw1","ZCWPW1"
"5191","Pdpr","PDPR"
"5192","Kansl3","KANSL3"
"5193","Tmem248","TMEM248"
"5194","Det1","DET1"
"5195","Mreg","MREG"
"5196","Fezf2","FEZF2"
"5197","Tapbpl","TAPBPL"
"5198","Arglu1","ARGLU1"
"5199","Radx","RADX"
"5200","Ccdc186","CCDC186"
"5201","Tmem51","TMEM51"
"5202","Yeats2","YEATS2"
"5203","Wdyhv1","NTAQ1"
"5204","Pacs1","PACS1"
"5205","Frmd4a","FRMD4A"
"5206","Wdr70","WDR70"
"5207","Dmac2","DMAC2"
"5208","Atg2b","ATG2B"
"5209","Gpatch2","GPATCH2"
"5210","Arhgap17","ARHGAP17"
"5211","Tmem39a","TMEM39A"
"5212","Prpf38b","PRPF38B"
"5213","Fancl","FANCL"
"5214","Akirin2","AKIRIN2"
"5215","Trim68","TRIM68"
"5216","Odad2","ODAD2"
"5217","Srbd1","SRBD1"
"5218","Wrap53","WRAP53"
"5219","Zfp358","ZNF358"
"5220","Haus2","HAUS2"
"5221","Efhc1","EFHC1"
"5222","Lrrc8d","LRRC8D"
"5223","Thap1","THAP1"
"5224","Zdhhc4","ZDHHC4"
"5225","Mtpap","MTPAP"
"5226","Dok4","DOK4"
"5227","Tmem38b","TMEM38B"
"5228","Lmbr1l","LMBR1L"
